"","yr_q","citypair","enter","yr_q.1","citypair.1","pop","distance","totenter"
"97",19972,107,"9",19962,166,0.053499,0.933,1.6094379124341
"98",19972,134,"7",19962,95,0.1421,1.956,2.19722457733622
"99",19972,133,"7",19962,82,0.1451,1.66,2.07944154167984
"100",19972,110,"6",19962,151,0.16285,0.98,1.94591014905531
"101",19972,4,"8",19962,105,0.36058,2.133,2.19722457733622
"102",19972,158,"7",19962,141,0.082494,0.349,0.693147180559945
"103",19972,123,"7",19962,35,0.1802,2.496,2.07944154167984
"104",19972,44,"1",19962,182,0.21364,0.678,1.09861228866811
"105",19972,155,"9",19962,113,0.11312,1.034,1.38629436111989
"106",19972,53,"7",19962,22,0.24562,1.562,2.07944154167984
"107",19972,67,"6",19962,87,0.82088,1.979,2.19722457733622
"108",19972,130,"10",19962,104,0.2744,2.433,2.07944154167984
"109",19972,153,"8",19962,125,1.0706,1.745,2.19722457733622
"110",19972,115,"6",19962,111,0.43687,1.416,1.6094379124341
"111",19972,108,"9",19962,114,0.29118,0.925,1.38629436111989
"112",19972,17,"9",19962,130,0.99915,0.337,1.94591014905531
"113",19972,95,"10",19962,7,0.14237,0.689,1.6094379124341
"114",19972,72,"3",19962,174,0.15191,0.813,1.94591014905531
"115",19972,125,"9",19962,45,0.11478,0.611,1.6094379124341
"116",19972,48,"7",19962,15,0.091293,1.587,2.07944154167984
"117",19972,32,"6",19962,57,0.092401,0.861,1.6094379124341
"118",19972,126,"6",19962,31,0.11186,2.537,1.79175946922805
"119",19972,90,"6",19962,3,0.076376,1.199,2.07944154167984
"120",19972,109,"7",19962,118,0.10963,1.303,1.6094379124341
"121",19972,45,"4",19962,150,0.055201,1.426,1.79175946922805
"122",19972,100,"9",19962,123,0.2473,1.75,2.07944154167984
"123",19972,132,"3",19962,158,0.33521,0.678,2.07944154167984
"124",19972,175,"4",19962,49,0.18847,1.998,2.19722457733622
"125",19972,79,"8",19962,68,0.14578,0.967,1.6094379124341
"126",19972,61,"6",19962,61,0.060685,0.68,1.6094379124341
"127",19972,154,"7",19962,23,0.29712,0.632,2.19722457733622
"128",19972,184,"9",19962,154,0.08893,1.399,1.94591014905531
"129",19972,119,"6",19962,176,0.086831,1.107,1.6094379124341
"130",19972,145,"5",19962,74,0.46813,1.389,2.07944154167984
"131",19972,131,"9",19962,135,0.12765,2.445,1.6094379124341
"132",19972,40,"6",19962,55,0.11977,1.123,1.94591014905531
"133",19972,135,"6",19962,24,0.51507,0.2,0.693147180559945
